"Drug_Name","Sources_Count","All_Source_Papers","Mechanism_Pathway","Indication","Drug_Action","SMILES","Reference_DOIs"
"streptomycin","4","Chen 2016 (DILIrank); Thakkar 2020 (DILIst); Hoofnagle 2013 (LiverTox E); Segovia-Zafra 2024 (ProEuroDILI #5)","30S ribosomal subunit inhibitor","Tuberculosis / Endocarditis","Aminoglycoside Antibiotic","CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)O","10.1016/j.drudis.2016.02.015; 10.1016/j.drudis.2019.09.022; 10.1002/hep.26175; 10.1016/j.jhep.2024.04.026"
"atropine","3","Chen 2016 (DILIrank); Thakkar 2020 (DILIst); Hoofnagle 2013 (LiverTox E)","Muscarinic acetylcholine receptor antagonist","Bradycardia / Organophosphate poisoning","Anticholinergic","CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3","10.1016/j.drudis.2016.02.015; 10.1016/j.drudis.2019.09.022; 10.1002/hep.26175"
"colchicine","3","Thakkar 2020 (DILIst); Hoofnagle 2013 (LiverTox E); Greene 2010","Microtubule polymerization inhibitor","Gout / Familial Mediterranean Fever","Anti-inflammatory","CC(=O)NC1CCC2=CC(=C(C=C2C3=CC=C(C(=O)C=C13)OC)OC)OC","10.1016/j.drudis.2019.09.022; 10.1021/tx1000865; 10.1002/hep.26175"
"mannitol","3","Chen 2011 (LTKB-BD); Chen 2016 (DILIrank); Hoofnagle 2013 (LiverTox E)","Osmotic diuresis","Cerebral edema / Renal failure","Osmotic diuretic","C(C(C(C(C(CO)O)O)O)O)O","10.1007/s00204-011-0748-x; 10.1016/j.drudis.2016.02.015; 10.1002/hep.26175"
"amantadine","3","Chen 2016 (DILIrank); Thakkar 2020 (DILIst); Hoofnagle 2013 (LiverTox E)","NMDA receptor antagonist / Antiviral","Parkinson's / Influenza A","Antiviral / Antiparkinson","C1C2CC3CC1CC(C2)(C3)N","10.1016/j.drudis.2016.02.015; 10.1016/j.drudis.2019.09.022; 10.1002/hep.26175"
"loperamide","3","Chen 2016 (DILIrank); Hoofnagle 2013 (LiverTox E); Segovia-Zafra 2024 (ProEuroDILI #8)","Mu-opioid receptor agonist (peripheral)","Diarrhea","Antidiarrheal","CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4","10.1016/j.drudis.2016.02.015; 10.1002/hep.26175; 10.1016/j.jhep.2024.04.026"
"pseudoephedrine","3","Thakkar 2020 (DILIst); Chen 2016 (DILIrank); Hoofnagle 2013 (LiverTox E)","Alpha/beta-adrenergic agonist","Nasal congestion","Decongestant","CC(C(C1=CC=CC=C1)O)NC","10.1016/j.drudis.2016.02.015; 10.1016/j.drudis.2019.09.022; 10.1002/hep.26175"
"naloxone","3","Greene 2010; Thakkar 2020 (DILIst); Hoofnagle 2013 (LiverTox E)","Opioid receptor antagonist","Opioid overdose","Opioid antagonist","C=CCN1CCC23C(C1CC4=C2C(=C(C=C4)O)O5)C6C(C3=O)CC5C6O","10.1016/j.drudis.2019.09.022; 10.1021/tx1000865; 10.1002/hep.26175"
"chlorpheniramine","3","Chen 2011 (LTKB-BD); Chen 2016 (DILIrank); Hoofnagle 2013 (LiverTox E / dexchlorpheniramine)","H1 receptor antagonist","Allergic rhinitis","Antihistamine","CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2","10.1007/s00204-011-0748-x; 10.1016/j.drudis.2016.02.015; 10.1002/hep.26175"
"oxybutynin","3","Chen 2016 (DILIrank); Hoofnagle 2013 (LiverTox E); Segovia-Zafra 2024 (ProEuroDILI #6)","Muscarinic M1/M3 receptor antagonist","Overactive bladder","Antispasmodic","CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O","10.1016/j.drudis.2016.02.015; 10.1002/hep.26175; 10.1016/j.jhep.2024.04.026"
"minoxidil","3","Chen 2011 (LTKB-BD); Chen 2016 (DILIrank); Hoofnagle 2013 (LiverTox E)","Potassium channel opener","Alopecia / Hypertension","Vasodilator / Hair growth stimulant","C1CCN(CC1)C2=NC(=C(C(=N2)N)N)O","10.1007/s00204-011-0748-x; 10.1016/j.drudis.2016.02.015; 10.1002/hep.26175"
"granisetron","3","Greene 2010; Thakkar 2020 (DILIst); Hoofnagle 2013 (LiverTox E)","5-HT3 receptor antagonist","Nausea and vomiting","Antiemetic","CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C","10.1016/j.drudis.2019.09.022; 10.1021/tx1000865; 10.1002/hep.26175"
"cholestyramine","3","Chen 2011 (LTKB-BD); Chen 2016 (DILIrank); Hoofnagle 2013 (LiverTox E)","Bile acid sequestrant","Hypercholesterolemia","Lipid-lowering agent","C(C(C1=CC=CC=C1)C2CC(C3=CC=CC=C3)C(C(C4=CC=CC=C4)C)C)C5=CC=C(C=C5)CN(C)(C)C","10.1007/s00204-011-0748-x; 10.1016/j.drudis.2016.02.015; 10.1002/hep.26175"
"emtricitabine","3","Chen 2016 (DILIrank); Thakkar 2020 (DILIst); Hoofnagle 2013 (LiverTox E)","Reverse transcriptase inhibitor","HIV infection","Antiviral (NRTI)","C1C(C(OC1N2C=C(C(=NC2=O)N)F)CO)S","10.1016/j.drudis.2016.02.015; 10.1016/j.drudis.2019.09.022; 10.1002/hep.26175"
"entecavir","3","Greene 2010; Thakkar 2020 (DILIst); Hoofnagle 2013 (LiverTox E)","HBV DNA polymerase inhibitor","Hepatitis B","Antiviral","C1C(C(C(=C)C1N2C=NC3=C2N=C(NC3=O)N)CO)O","10.1016/j.drudis.2019.09.022; 10.1021/tx1000865; 10.1002/hep.26175"
"pyridostigmine","3","Chen 2016 (DILIrank); Thakkar 2020 (DILIst); Segovia-Zafra 2024 (ProEuroDILI #9)","Acetylcholinesterase inhibitor","Myasthenia gravis","Cholinergic","C[N+]1=CC=CC(=C1)OC(=O)N(C)C","10.1016/j.drudis.2016.02.015; 10.1016/j.drudis.2019.09.022; 10.1016/j.jhep.2024.04.026"
"tolterodine","3","Chen 2016 (DILIrank); Hoofnagle 2013 (LiverTox E); Segovia-Zafra 2024 (ProEuroDILI)","Muscarinic receptor antagonist","Overactive bladder","Antispasmodic","CC1=CC(=C(C=C1)O)C(CCN(C(C)C)C(C)C)C2=CC=CC=C2","10.1016/j.drudis.2016.02.015; 10.1002/hep.26175; 10.1016/j.jhep.2024.04.026"
"fesoterodine","3","Greene 2010; Thakkar 2020 (DILIst); Hoofnagle 2013 (LiverTox E)","Muscarinic receptor antagonist","Overactive bladder","Antispasmodic","CC(C)C(=O)OC1=CC=CC=C1C(CCN(C(C)C)C(C)C)C2=CC=CC=C2O","10.1016/j.drudis.2019.09.022; 10.1021/tx1000865; 10.1002/hep.26175"
"methocarbamol","3","Greene 2010; Thakkar 2020 (DILIst); Hoofnagle 2013 (LiverTox E)","Central nervous system depressant","Muscle spasms","Muscle relaxant","COC1=CC=CC=C1OCC(COC(=O)N)O","10.1016/j.drudis.2019.09.022; 10.1021/tx1000865; 10.1002/hep.26175"
"tegaserod","3","Chen 2016 (DILIrank); Thakkar 2020 (DILIst); Hoofnagle 2013 (LiverTox E)","5-HT4 receptor agonist","Irritable bowel syndrome","Gastroprokinetic agent","CCCCNC(=N)NN=CC1=CN=C2C=CC=CC2=C1","10.1016/j.drudis.2016.02.015; 10.1016/j.drudis.2019.09.022; 10.1002/hep.26175"
"telbivudine","3","Greene 2010; Thakkar 2020 (DILIst); Hoofnagle 2013 (LiverTox E)","HBV DNA polymerase inhibitor","Hepatitis B","Antiviral","CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O","10.1016/j.drudis.2019.09.022; 10.1021/tx1000865; 10.1002/hep.26175"
"epinephrine","2","Hoofnagle 2013 (LiverTox E); Chen 2016 (DILIrank)","Alpha/beta-adrenergic agonist","Anaphylaxis / Cardiac arrest","Sympathomimetic","CNCC(C1=CC(=C(C=C1)O)O)O","10.1016/j.drudis.2016.02.015; 10.1002/hep.26175"
"diazepam","2","Chen 2011 (LTKB-BD); Chen 2016 (DILIrank)","GABA-A receptor agonist","Anxiety / Muscle spasms","Anxiolytic","CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3","10.1007/s00204-011-0748-x; 10.1016/j.drudis.2016.02.015"
"lorazepam","2","Chen 2011 (LTKB-BD); Chen 2016 (DILIrank)","GABA-A receptor agonist","Anxiety / Seizures","Anxiolytic / Anticonvulsant","C1=CC=C(C(=C1)C2=NCC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl","10.1007/s00204-011-0748-x; 10.1016/j.drudis.2016.02.015"
"hydrocortisone","2","Thakkar 2020 (DILIst); Chen 2016 (DILIrank)","Glucocorticoid receptor agonist","Inflammation / Adrenal insufficiency","Corticosteroid","CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O","10.1016/j.drudis.2016.02.015; 10.1016/j.drudis.2019.09.022"
"dopamine","2","Chen 2011 (LTKB-BD); Chen 2016 (DILIrank)","Dopamine receptor agonist","Hypotension / Shock","Inotropic / Vasopressor","C1=CC(=C(C=C1CCN)O)O","10.1007/s00204-011-0748-x; 10.1016/j.drudis.2016.02.015"
"norepinephrine","2","Hoofnagle 2013 (LiverTox E); Chen 2016 (DILIrank)","Alpha/beta-adrenergic agonist","Hypotension / Shock","Vasopressor","C1=CC(=C(C=C1C(CN)O)O)O","10.1016/j.drudis.2016.02.015; 10.1002/hep.26175"
"methadone","2","Hoofnagle 2013 (LiverTox E); Chen 2016 (DILIrank)","Mu-opioid receptor agonist","Pain / Opioid dependence","Analgesic / Addiction therapy","CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2","10.1016/j.drudis.2016.02.015; 10.1002/hep.26175"
"meperidine","2","Hoofnagle 2013 (LiverTox E); Chen 2016 (DILIrank)","Mu-opioid receptor agonist","Moderate to severe pain","Analgesic","CCC(=O)OC1(CCN(CC1)C)C2=CC=CC=C2","10.1016/j.drudis.2016.02.015; 10.1002/hep.26175"
"sucralfate","2","Chen 2011 (LTKB-BD); Chen 2016 (DILIrank)","Mucosal protective agent","Duodenal ulcer","Antiulcer agent","C(C(C(C(C(C(=O)O)O)O)O)O)O.Al(O)(O)O","10.1007/s00204-011-0748-x; 10.1016/j.drudis.2016.02.015"
"famciclovir","2","Chen 2016 (DILIrank); Thakkar 2020 (DILIst)","DNA polymerase inhibitor","Herpes zoster / HSV","Antiviral","CC(=O)OCCC(CCC(=O)OC)CN1C=NC2=C1N=CN=C2N","10.1016/j.drudis.2016.02.015; 10.1016/j.drudis.2019.09.022"
"ergocalciferol","2","Thakkar 2020 (DILIst); Hoofnagle 2013 (LiverTox E)","Vitamin D receptor agonist","Vitamin D deficiency","Vitamin D analog","CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C","10.1016/j.drudis.2019.09.022; 10.1002/hep.26175"
"prazosin","2","Chen 2016 (DILIrank); Hoofnagle 2013 (LiverTox E)","Alpha-1 adrenergic antagonist","Hypertension","Antihypertensive","COC1=C(C=C2C(=C1)C(=NC(=N2)N1CCN(CC1)C(=O)C3=CC=CO3)N)OC","10.1016/j.drudis.2016.02.015; 10.1002/hep.26175"
"vorinostat","2","Chen 2016 (DILIrank); Hoofnagle 2013 (LiverTox E)","HDAC inhibitor","Cutaneous T-cell lymphoma","Antineoplastic","C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO","10.1016/j.drudis.2016.02.015; 10.1002/hep.26175"
"doxylamine","2","Hoofnagle 2013 (LiverTox E); Chen 2016 (DILIrank)","H1 receptor antagonist","Insomnia / Allergy","Antihistamine / Sedative","CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C","10.1016/j.drudis.2016.02.015; 10.1002/hep.26175"
"methamphetamine","2","Hoofnagle 2013 (LiverTox E); Chen 2016 (DILIrank)","TAAR1 agonist","ADHD / Narcolepsy","CNS stimulant","CC(CC1=CC=CC=C1)NC","10.1016/j.drudis.2016.02.015; 10.1002/hep.26175"
"bethanechol","2","Hoofnagle 2013 (LiverTox E); Chen 2016 (DILIrank)","Muscarinic receptor agonist","Urinary retention","Cholinergic","CC(C[N+](C)(C)C)OC(=O)N","10.1016/j.drudis.2016.02.015; 10.1002/hep.26175"
"dicyclomine","2","Hoofnagle 2013 (LiverTox E); Chen 2016 (DILIrank)","Muscarinic receptor antagonist","Irritable bowel syndrome","Antispasmodic","CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2","10.1016/j.drudis.2016.02.015; 10.1002/hep.26175"
"clorazepate","2","Chen 2016 (DILIrank); Thakkar 2020 (DILIst)","GABA-A receptor agonist","Anxiety / Seizures","Anxiolytic","C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O.O.O.[K+].[K+]","10.1016/j.drudis.2016.02.015; 10.1016/j.drudis.2019.09.022"
"phentolamine","2","Chen 2016 (DILIrank); Hoofnagle 2013 (LiverTox E)","Alpha-adrenergic antagonist","Hypertensive episodes in pheochromocytoma","Antihypertensive","CC1=CC=C(C=C1)N(CC2=NCCN2)C3=CC=CC=C3O","10.1016/j.drudis.2016.02.015; 10.1002/hep.26175"
"trospium","2","Chen 2016 (DILIrank); Hoofnagle 2013 (LiverTox E)","Muscarinic receptor antagonist","Overactive bladder","Antispasmodic","C1CC2CC(CC1C3(C2)CCCC3)(OC(=O)C(C4=CC=CC=C4)(C5=CC=CC=C5)O)[N+]6(CCCC6)C","10.1016/j.drudis.2016.02.015; 10.1002/hep.26175"
"amoxapine","2","Thakkar 2020 (DILIst); Hoofnagle 2013 (LiverTox E)","Norepinephrine reuptake inhibitor / D2 antagonist","Depression","Antidepressant","C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl","10.1016/j.drudis.2019.09.022; 10.1002/hep.26175"
"physostigmine","2","Thakkar 2020 (DILIst); Greene 2010","Acetylcholinesterase inhibitor","Anticholinergic toxicity / Glaucoma","Cholinergic","CC1(C2C(N(C1)C)N(C3=C2C=C(C=C3)OC(=O)NC)C)C","10.1016/j.drudis.2019.09.022; 10.1021/tx1000865"
"daunorubicin","2","Greene 2010; Thakkar 2020 (DILIst)","Topoisomerase II inhibitor","Leukemia","Antineoplastic (Anthracycline)","CC(=O)C1(CC(C2=C(C1)C=C(C3=C2C(=O)C4=C(C3=O)C=CC=C4OC)O)OC5CC(C(C(O5)C)O)N)O","10.1016/j.drudis.2019.09.022; 10.1021/tx1000865"
"epirubicin","2","Thakkar 2020 (DILIst); Greene 2010","Topoisomerase II inhibitor","Breast cancer / Lymphoma","Antineoplastic (Anthracycline)","CC1C(C(C(C(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O)O","10.1016/j.drudis.2019.09.022; 10.1021/tx1000865"
"methylnaltrexone bromide","2","Greene 2010; Hoofnagle 2013 (LiverTox E)","Peripheral mu-opioid antagonist","Opioid-induced constipation","Opioid antagonist","C[N+]1(CCC23C(C1CC4=C2C(=C(C=C4)O)O5)C6C(C3=O)CC5C6)C.","10.1021/tx1000865; 10.1002/hep.26175"
"dimenhydrinate","2","Greene 2010; Hoofnagle 2013 (LiverTox E)","H1 receptor antagonist","Motion sickness","Antiemetic","CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.CN1C2=C(C(=O)N(C1=O)C)NC=N2","10.1021/tx1000865; 10.1002/hep.26175"
"succinylcholine","2","Hoofnagle 2013 (LiverTox E); Chen 2016 (DILIrank)","Nicotinic receptor depolarizing blocker","Neuromuscular blockade","Muscle relaxant","C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C","10.1016/j.drudis.2016.02.015; 10.1002/hep.26175"
"levorphanol","2","Hoofnagle 2013 (LiverTox E); Chen 2016 (DILIrank)","Mu-opioid receptor agonist","Severe pain","Analgesic","CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)O","10.1016/j.drudis.2016.02.015; 10.1002/hep.26175"
"aminophylline","2","Hoofnagle 2013 (LiverTox E); Chen 2016 (DILIrank) [=theophylline salt]","Phosphodiesterase inhibitor","Asthma / COPD","Bronchodilator","CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N","10.1016/j.drudis.2016.02.015; 10.1002/hep.26175"
"dexchlorpheniramine","2","Hoofnagle 2013 (LiverTox E); Chen 2016 (DILIrank) [=chlorpheniramine enantiomer]","H1 receptor antagonist","Allergic rhinitis","Antihistamine","CN(C)CC[C@H](C1=CC=C(C=C1)Cl)C2=CC=CC=N2","10.1016/j.drudis.2016.02.015; 10.1002/hep.26175"
"dyphylline","2","Hoofnagle 2013 (LiverTox E); Chen 2016 (DILIrank)","Phosphodiesterase inhibitor","Asthma","Bronchodilator","CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O","10.1016/j.drudis.2016.02.015; 10.1002/hep.26175"
"gamma hydroxybutyric acid","2","Chen 2016 (DILIrank); Hoofnagle 2013 (LiverTox E)","GABA-B receptor agonist","Narcolepsy","CNS depressant","C(CC(=O)O)CO","10.1016/j.drudis.2016.02.015; 10.1002/hep.26175"
"fludrocortisone","2","Chen 2016 (DILIrank); Hoofnagle 2013 (LiverTox E)","Mineralocorticoid receptor agonist","Addison's disease","Corticosteroid","CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)(F)O","10.1016/j.drudis.2016.02.015; 10.1002/hep.26175"
"vinblastine","1","Thakkar 2020 (DILIst)","Microtubule depolymerization","Hodgkin's lymphoma / Testicular cancer","Antineoplastic","CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O","10.1016/j.drudis.2019.09.022"
"nisoldipine","1","Thakkar 2020 (DILIst)","Calcium channel blocker","Hypertension","Antihypertensive","CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OCC(C)C","10.1016/j.drudis.2019.09.022"
"praziquantel","1","Thakkar 2020 (DILIst)","Calcium membrane permeability modifier","Schistosomiasis","Anthelmintic","O=C1CN2C(C3=CC=CC=C3CC2)N1C(=O)C4CCCCC4","10.1016/j.drudis.2019.09.022"
"demeclocycline","1","Thakkar 2020 (DILIst)","30S ribosomal subunit inhibitor","Bacterial infection / SIADH","Antibacterial / Aquaretic","CC12C(C3C(C(=O)C(=C(C3(C(=O)C1=C(C4=C(C=CC(=C4C2=O)Cl)O)O)O)O)C(=O)N)N(C)C)O","10.1016/j.drudis.2019.09.022"
"pergolide","1","Thakkar 2020 (DILIst)","Dopamine D2 receptor agonist","Parkinson's disease","Antiparkinson agent","CCCN1CC(CC2=C1C=C3C=CNC3=C2)CSSC","10.1016/j.drudis.2019.09.022"
"vinorelbine","1","Thakkar 2020 (DILIst)","Microtubule depolymerization","Non-small cell lung cancer","Antineoplastic","CCC1=CC2CC(C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC","10.1016/j.drudis.2019.09.022"
"altretamine","1","Chen 2016 (DILIrank)","DNA alkylating agent","Ovarian cancer","Antineoplastic","CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C","10.1016/j.drudis.2016.02.015"
"aminohippurate","1","Thakkar 2020 (DILIst)","Renal tubular secretion marker","Measurement of effective renal plasma flow","Diagnostic agent","C1=CC(=CC=C1C(=O)NCC(=O)O)N","10.1016/j.drudis.2019.09.022"
"corticorelin ovine triflutate","1","Greene 2010","CRH receptor agonist","Cushing's syndrome diagnosis","Diagnostic agent","N/A (Peptide structure)","10.1021/tx1000865"
"corticotropin","1","Thakkar 2020 (DILIst)","Melanocortin receptor agonist","Diagnostic testing of adrenal function","Hormone / Diagnostic","CC(C)CC(C(=O)NC(CCCNC(=O)N)C(=O)O)NC(=O)C(CC1=CN=CN1)NC(=O)C(CCCCN)NC(=O)C(CCCCN)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CC3=CC=C(C=C3)O)NC(=O)C(C)NC(=O)C(CC4=CNC5=CC=CC=C54)NC(=O)C(CC=CN)N","10.1016/j.drudis.2019.09.022"
"cupric chloride","1","Greene 2010","Copper supplement","Copper deficiency","Trace element","Cl[Cu]Cl","10.1021/tx1000865"
"decitabine","1","Chen 2016 (DILIrank)","DNA methyltransferase inhibitor","Myelodysplastic syndromes","Antineoplastic","C1C(C(OC1N2C=NC(=N2)N)CO)O","10.1016/j.drudis.2016.02.015"
"dextrose","1","Chen 2016 (DILIrank)","Glycolysis substrate","Hypoglycemia","Caloric agent","C(C1C(C(C(C(O1)O)O)O)O)O","10.1016/j.drudis.2016.02.015"
"dimercaprol","1","Thakkar 2020 (DILIst)","Heavy metal chelation","Heavy metal poisoning (As Au Hg)","Chelating agent","C(C(CS)S)O","10.1016/j.drudis.2019.09.022"
"doxapram","1","Greene 2010","Respiratory center stimulant","Respiratory depression","CNS stimulant","CCN1CCC(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3","10.1021/tx1000865"
"ecallantide","1","Hoofnagle 2013 (LiverTox E)","Plasma kallikrein inhibitor","Hereditary angioedema","Kallikrein inhibitor","N/A (Polypeptide)","10.1002/hep.26175"
"exenatide","1","Greene 2010","GLP-1 receptor agonist","Type 2 diabetes","Antihyperglycemic","N/A (Synthetic exendin-4 peptide)","10.1021/tx1000865"
"gadofosveset trisodium","1","Greene 2010","Magnetic resonance imaging contrast agent","MR angiography","Contrast media","C(C(C(=O)[O-])N(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Gd+3]","10.1021/tx1000865"
"ganirelix acetate","1","Chen 2016 (DILIrank)","GnRH receptor antagonist","Infertility treatment","GnRH antagonist","CC(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC2=CC=C(C=C2)Cl)C(=O)NC(CC3=CC=CC=N3)C(=O)NC(CO)C(=O)NC(CC4=CC=C(C=C4)O)C(=O)NC(CCC(=O)N)C(=O)NC(CC(C)C)C(=O)NC(CCCNC(=N)N)C(=O)N5CCCC5C(=O)NC(C)C(=O)N","10.1016/j.drudis.2016.02.015"
"histamine diphosphate","1","Hoofnagle 2013 (LiverTox E)","H1/H2 receptor agonist","Gastric acid secretion test","Diagnostic agent","C1=C(NC=N1)CCN.OP(=O)(O)O.OP(=O)(O)O","10.1002/hep.26175"
"hyaluronidase","1","Hoofnagle 2013 (LiverTox E)","Hyaluronic acid depolymerization","Subcutaneous fluid administration","Absorption enhancer","N/A (Protein enzyme)","10.1002/hep.26175"
